filename,product_code,product_name,batch_number,batch_unit,dept_name,actual_qty,mfg_date,operator,approver_1,approver_2,approver_3,notes_content,total_time,special_notes,step_count
ADML_케어미 어르신전용 고보습바디로션.xlsx,ADML000,케어미 어르신 전용 고보습 바디로션,,Kg,,Kg,,,"결

재",담 당,부서장,*원료투입시 100메쉬 여과 거칠 것,총소요시간,,10
AJBC_케어미 어르신전용데오바디워시.xlsx,AJBC002,케어미 어르신전용 데오 바디워시,,Kg,,Kg,,,"결

재",담 당,부서장,,,,5
AJSP_케어미 어르신전용아르간단백질샴푸&린스.xlsx,AJSP002,케어미 어르신전용 아르간 단백질 샴푸&린스,,Kg,,Kg,,,"결

재",담 당,부서장,,,,2
ANBC_애스톤네이처 프로방스상떼바디클렌저.xlsx,ANBC_____,,,Kg,,Kg,,,"결

재",담 당,부서장,,,,5
ANBL_애스톤네이처 프로방스상떼바디로션.xlsx,ANBL_____,,,Kg,,Kg,,,"결

재",담 당,부서장,*원료투입시 100메쉬 여과 거칠 것,총소요시간,,10
ANHP001_애스톤네이처 바오밥퍼퓸헤어팩.xlsx,ANHP001,애스톤네이처 바오밥 퍼퓸 헤어팩,,Kg,,Kg,,,"결

재",담 당,부서장,,,,9
ANSP001_애스톤네이처 바오밥퍼퓸헤어샴푸.xlsx,ANSP001,애스톤네이처 바오밥 퍼퓸 헤어샴푸,,Kg,,Kg,,,"결

재",담 당,부서장,,,,2
AOBC005_샤샤 아르간오일 진저 쿨링 케어 바디워시 공정.xlsx,AOBC005,샤샤 아르간 오일 진저 쿨링 케어 바디워시,,Kg,,Kg,,,"결

재",담 당,부서장,투명점성액상,,,8
AOBC_샤샤 바디워시.xlsx,AOBC004,샤샤 알로에베라 바디워시,,Kg,,Kg,,,"결

재",담 당,부서장,,,,5
AOBL_샤샤 바디로션.xlsx,AOBL_______,,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,10
AOFC_샤샤 클렌징폼 공정.xlsx,AOFC______,,,Kg,,Kg,,,"결

재",담 당,부서장,*일정 점/경도가 생성되기 전까지 냉각 교반할 것.,,,8
AOHA001_샤샤 아르간오일단백질헤어앰플.xlsx,AOHA001,샤샤 아르간오일 단백질 헤어 앰플,,Kg,,Kg,,,"결

재",담 당,부서장,"* 부상전 품질관리팀에 확인 거칠 것 (점도확인)

",,,7
AOHE_샤샤 아르간오일웨이브볼륨에센스.xlsx,AOHE001,샤샤 아르간오일 웨이브 볼륨 에센스,,Kg,,Kg,,,"결

재",담 당,부서장,,,,8
AOHSR_샤샤 아르간오일헤어세럼.xlsx,"AOHSR00
(BAOHS000)",샤샤 아르간 오일 헤어 세럼,,Kg,,Kg,,,"결

재",담 당,부서장,,,,5
AORS_샤샤 아르간오일컨디셔너.xlsx,AORS001,샤샤 아르간 오일 LPP 헤어팩,,Kg,,Kg,,,"결

재",담 당,부서장,,,,9
AOSP_샤샤 아르간오일샴푸.xlsx,AOSP003,샤샤 아르간오일 어성초 캡슐 스크럽 샴푸,,Kg,,Kg,,,"결

재",담 당,부서장,"  
    - 3일 이상 숙성하여 자연탈포할 것.
",,,9
AOWS_샤샤 아르간오일슈퍼하드워터스프레이.xlsx,AOWS000,,,Kg,,Kg,,,"결

재",담 당,부서장,,,,6
ARFC_에바스 아로마폼클렌져.xlsx,ARFC______,,,Kg,,Kg,,,"결

재",담 당,부서장,*일정 점/경도가 생성되기 전까지 교반을 종료하지 말 것,,,8
BBHC_바바리라 퍼퓸드핸드크림.xlsx,BBHC_____,,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,10
BDFC001_보르도 민트쿨링풋케어크림.xlsx,BDFC001,보르도 민트 쿨링 풋 케어 크림,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,9
BDFD001_보르도 민트풋데오드란트.xlsx,BDFD001,보르도 민트 쿨링 풋 데오드란트,,Kg,,Kg,,,"결

재",담 당,부서장,,,,6
BDFS001_보르도 민트쿨링풋스프레이.xlsx,BDFS001,보르도 민트 쿨링 풋 스프레이,,Kg,,Kg,,,"결

재",담 당,부서장,,,,2
BDFS002_보르도 드래곤풋필링스프레이.xlsx,BDFS002,보르도 드래곤 풋 필링 스프레이,,Kg,,Kg,,,"결

재",담 당,부서장,,,,8
BDFS003_보르도 드래곤풋샴푸 제조공정.xlsx,BDFS003,보르도 드래곤 풋 샴푸,,Kg,,Kg,,,"결

재",담 당,부서장,,,,7
BPBB_바이마레 컴포팅버블배쓰.xlsx,BPBB______,바이마레 컴포팅 버블배쓰,,Kg,,Kg,,,"결

재",담 당,부서장,,,,4
BPBC-바이마레 라파숑드벨르플뢰르바디워시.xlsx,BPBC______,,,Kg,,Kg,,,"결

재",담 당,부서장,,,,5
BPBL_바이마레 라파숑드벨르플뢰르바디로션.xlsx,BPBL_____,,,Kg,,Kg,,,"결

재",담 당,부서장,*원료투입시 100메쉬 여과 거칠 것,총소요시간,,10
BPDF_바이마레 블랑쉬퍼퓸디퓨져.xlsx,BPDF_______,,,Kg,,Kg,,,"결

재",담 당,부서장,,,,2
BPHC_바이마레 라파숑드벨르플뢰르핸드크림.xlsx,BPHC______,,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,10
BPMT001_바이마레 프리미엄바디미스트.xlsx,BPMT001,바이마레 프리미엄 퍼퓸드 바디미스트,,Kg,,Kg,,,"결

재",담 당,부서장,,,,6
BPMT002~_바이마레 컴포지션퍼퓸미스트.xlsx,BPMT______,바이마레 컴포지션 퍼퓸 미스트,,Kg,,Kg,,,"결

재",담 당,부서장,,,,2
BRSCN10_에바스 블루로즈마인샤워코롱.xlsx,BRSCN10,,,Kg,,Kg,,,"결

재",담 당,부서장,,,,2
BTBC004~10_바스파 바쓰솔트스크럽 바디워시 공정.xlsx,BTBC_____,바스파 바쓰 솔트 스크럽 바디워시,,Kg,,Kg,,,"결

재",담 당,부서장,,,,9
BTBC_바스파 바디워시.xlsx,BTBC002,바스파 아로마 라운지 베르가못 바디워시,,Kg,,Kg,,,"결

재",담 당,부서장,,,,5
BTBL_바스파 바디로션.xlsx,BTBL_____,,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,10
BTBO_바스파 아오마틱 바디트리트먼트 오일 공정.xlsx,BTBO________,바스파 아로마틱 플로우 바디 트리트먼트 오일,,Kg,,Kg,,,"결

재",담 당,부서장,,,,6
BTCR003_바스파 바디톤업크림 공정.xlsx,BTCR003,바스파 바디 톤 업 크림 미네랄 케어,,Kg,,Kg,,,"결

재",담 당,부서장,"*원료투입시 100메쉬 여과 거칠 것
*TiO2+색소 분산상태 확인후 진행할 것.",총소요시간,,10
BTCR_바스파 텐션케어크림.xlsx,BTCR001,바스파 텐션케어 쿨 크림,,Kg,,Kg,,,"결

재",담 당,부서장,*제조량은 제조탱크의 50-80% 사이가 되게 할 것.,,,9
BTDM_바스파 아로마라운지무드퍼퓸드레스미스트.xlsx,BTDM_____,바스파 아로마 라운지 무드 퍼퓸 드레스 미스트,,Kg,,Kg,,,"결

재",담 당,부서장,,,,2
BTHC_바스파 플랜트퓨어로즈힙핸드크림.xlsx,BTHC001,바스파 플랜트 퓨어 로즈힙 핸드크림,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,10
BTHS_바스파 플랜트퓨어로즈힙핸드솝.xlsx,BTHS001,바스파 플랜트 퓨어 로즈힙 핸드솝,,Kg,,Kg,,,"결

재",담 당,부서장,,,,5
BTPF_바스파 피토스칼프퍼퓸.xlsx,BTPF_____,바스파 피토 스칼프 퍼퓸,,Kg,,Kg,,,"결

재",담 당,부서장,,,,5
BTSM001_바스파 피토스칼프오일컷미스트.xlsx,BTSM001,바스프 피토 스칼프 오일컷 미스트,,Kg,,Kg,,,"결

재",담 당,부서장,,,,2
BTSS_바스파 오스트레일리안 솔트 바디스크럽 공정.xlsx,BTSS_____,바스파 오스트레일리안 솔트 바디 스크럽,,Kg,,Kg,,,"결

재",담 당,부서장,,,,9
CCAB001_세라클리닉 더마이드 앰플밤 프로테인퀀치 공정.xlsx,CCAB001,세라클리닉 더마이드 4.0 앰플 밤 프로테인 퀀치,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,9
CCAO001_세라클리닉 앰플 오일 프로테인 퀀치 공정.xlsx,CCAO001,세라클리닉 더마이드 4.0 앰플 오일 프로테인 퀀치,,Kg,,Kg,,,"결

재",담 당,부서장,,,,6
CCATR01_세라클리닉 더마이드4.0앰플트리트먼트 프로테인퀀치.xlsx,CCATR01,세라클리닉 더마이드 4.0 앰플 트리트먼트프로테인 퀀치,,Kg,,Kg,,,"결

재",담 당,부서장,"
*인식라벨에 ""충진전 교반봉으로 가볍게 교반후 충진할 것"" 이라고 표기해 줄 것.",,,6
CCBL001_세라클리닉 더마이드4.0 세라마이드바디로션(공정).xlsx,CCBL001,세라클리닉 더마이드 4.0 세라마이드 바디로션,,Kg,,Kg,,,"결

재",담 당,부서장,"*메인탱크에 투입시 100메쉬 여과 거칠 것
*원료 Sepinov EMT-10 뭉친부분 있으면, 철저히 분말화 한후 사용할 것.",총소요시간,,10
CCCC001_세라클리닉 더마이드 컬링 크림 프로테인퀀치 공정.xlsx,CCCC001,세라클리닉 더마이드 4.0 컬링 크림 프로테인 퀀치,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,9
CCCR_세라크리닉 더마이드4.0인텐시브크림.xlsx,CCCR001,세라크리닉 더마이드4.0 인텐시브 크림,,Kg,,Kg,,,"결

재",담 당,부서장,,,*메인탱크에 투입시 100메쉬 여과 거칠 것,10
CCHP001_세라클리닉 더마이드 헤어팩 프로테인퀀치 공정.xlsx,CCHP001,세라클리닉 더마이드 4.0 헤어팩 프로테인 퀀치,,Kg,,Kg,,,"결

재",담 당,부서장,"*유상을 메인탱크에서 용해
*원료 BTAC80 때문에 타 제품들에 비해 용해 온도 높음
*숙성기간: 3일 이상",,,8
CCHW_세라클리닉 보태니컬핸드솝.xlsx,CCHW002,세라클리닉 보태니컬 핸드워시- 포레스트 워크,,Kg,,Kg,,,"결

재",담 당,부서장,,,,5
CCRS_세라클리닉 더마이드4.0보태니컬트리트먼트플루이드.xlsx,CCRS001,세라클리닉 더마이드 4.0 보태니컬 트리트먼트 플루이드,,Kg,,Kg,,,"결

재",담 당,부서장,,,,7
CCRW003_세라클리닉 로우 솔루션 판테놀 수용액 5%.xlsx,CCRW003,세라클리닉 로우 솔루션 판테놀 수용액 5%,,Kg,,Kg,,,"결

재",담 당,부서장,,,,3
CCSP_세라클리닉 더마이드보태니컬샴푸.xlsx,CCSP004,세라클리닉 더마이드 4.0 앰플 샴푸 프로테인 퀀치,,Kg,,Kg,,,"결

재",담 당,부서장,,,,6
CCVF_세라클리닉 더마이드 볼륨 픽서 공정.xlsx,CCVF000,세라클리닉 더마이드 4.0 볼륨 픽서 프로테인 퀀치,,Kg,,Kg,,,"결

재",담 당,부서장,,,,6
CHHC004_샤샤 아로마틱 시어버터 핸드크림.xlsx,CHHC004,샤샤 아로마틱 시어버터 핸드크림- 엠버바닐라,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,10
CHHC_샤샤 밀크앤허니핸드크림.xlsx,CHHC______,샤샤 밀크 앤 허니 핸드크림,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,10
CMHC_청정미인 아르간모이스처핸드크림(기능성).xlsx,CMHC______,청정미인 아르간 모이스처 핸드크림,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,10
DBCO001_데일리바이 제라늄 딥 클렌징 오일 공정.xlsx,DBCO001,데일리바이 제라늄 딥 클렌징 오일,,Kg,,Kg,,,"결

재",담 당,부서장,"
 `- 제조전 제조설비의 물기를 완전히 제거할 것.",,,7
DBMT001_데일리바이 제라늄 모이스처 미스트 공정.xlsx,DBMT001,데일리바이 제라늄 모이스처 미스트,,Kg,,Kg,,,"결

재",담 당,부서장,,,,4
DPBB050_디마이너스원 플랜 인텐스컨투어밤.xlsx,DPBB050,디마이너스원 플랜 인텐스 컨투어밤,,Kg,,Kg,,,"결

재",담 당,부서장,,,,7
ECHC_에바리카 아프리칸쉐어버터핸드크림.xlsx,ECHC000,,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,10
EHWS000_엘르베 슈퍼하드헤어워터스프레이.xlsx,EHWS000,,,Kg,,Kg,,,"결

재",담 당,부서장,,,,6
ELHS001_엘체 스무스레메디헤어오일세럼 공정.xlsx,ELHS001,엘체 스무스 레메디 헤어 오일 세럼,,Kg,,Kg,,,"결

재",담 당,부서장,,,,5
EVBLN01_에바스 모이스처로션바셀린로즈.xlsx,EVBLN01,,,Kg,,Kg,,,"결

재",담 당,부서장,*원료투입시 100메쉬 여과 거칠 것,총소요시간,,10
EVHNN01_에바스 핸드&네일로션바셀린로즈.xlsx,EVHNN01,,,Kg,,Kg,,,"결

재",담 당,부서장,*원료투입시 100메쉬 여과 거칠 것,총소요시간,,10
EVTSN01_에바스 매직실크샴푸&린스.xlsx,EVTSN01,,,Kg,,Kg,,,"결

재",담 당,부서장,,,,2
FJAP001_프레쥬 레틴콜라겐 3D 코어앰플 공정.xlsx,FJAP001,프레쥬 레틴 콜라겐 3D 코어 앰플,,Kg,,Kg,,,"결

재",담 당,부서장,,,,7
FJAP003_프레쥬 프로모이스처 B5히알루 앰플 공정.xlsx,FJAP003,프레쥬 프로모이스처 B5-히알루 앰플,,Kg,,Kg,,,"결

재",담 당,부서장,,,,7
FJAP004_프레쥬 유주허니 올리고 써지 앰플 공정.xlsx,FJAP004,프레쥬 유주허니 올리고 써지 앰플,,Kg,,Kg,,,"결

재",담 당,부서장," - 300 가마 사용금지                         - 성상: 적색투명 점성액상
 - 벌크통 물기 제거후 부상할 것.
 - 동절기엔 가마에 스팀 살짝 넣어 28-33℃ 정도에서 제조할 것",,,8
FJAP005_프레쥬 어성초 블레미쉬 리뉴 앰플 공정.xlsx,FJAP005,프레쥬 어성초 블레미쉬 리뉴 앰플,,Kg,,Kg,,,"결

재",담 당,부서장,"   - 성상: 옅은 초록색의 투명 점성액상

",,,9
FJAP007_프레쥬 바이옴 5-락토 트리트먼트앰플 공정.xlsx,FJAP007,프레쥬 바이옴 5-락토 트리트먼트 앰플,,Kg,,Kg,,,"결

재",담 당,부서장,,,,7
FJBB_프레쥬 레틴콜라겐 블레미쉬밤 공정.xlsx,FJBB____,프레쥬 레틴 콜라겐 3D 코어 블레미쉬 밤,,Kg,,Kg,,,"결

재",담 당,부서장," - 위 공정은 100kg 제조탱크 제조시 기준이며 적정 제조량은 55-85kg 임. 
 - 300가마 제조금지",,,2
FJBF001_프레쥬 오리지날인진쑥버블페이셜폼.xlsx,FJBF001,프레쥬 오리지날 인진쑥 버블 페이셜 폼,,Kg,,Kg,,,"결

재",담 당,부서장,,,,7
FJCB001_프레쥬 유주허니올클렌징밤.xlsx,FJCB001,프레쥬 유주허니 올 클렌징밤,,Kg,,Kg,,,"결

재",담 당,부서장,"
 `- 제조전 제조설비의 물기를 완전히 제거할 것.",,,6
FJCB002_프레쥬 프로모이스처 엔자임 클렌징 밤 공정.xlsx,FJCB002,프레쥬 프로모이스처 엔자임 클렌징 밤,,Kg,,Kg,,,"결

재",담 당,부서장,"
 `- 제조전 제조설비의 물기를 완전히 제거할 것.",,,6
FJCL001_프레쥬 프로모이스처 버블클렌저 공정.xlsx,FJCL001,프레쥬 프로 모이스처 버블 클렌저,,Kg,,Kg,,,"결

재",담 당,부서장,,,,7
FJCO_프레쥬 클렌징오일.xlsx,FJCO002,프레쥬 어성초 포어 멜팅 클렌징 오일,,Kg,,Kg,,,"결

재",담 당,부서장,"
 `- 제조전 제조설비의 물기를 완전히 제거할 것.",,,8
FJCP001_프레쥬 자연약쑥 효소 클렌징 팩 공정.xlsx,MAY-0007,1210,약쑥추출물,25000,에바스사급원료-2 complex-lq,,,,,,,,,,0
FJCR001_프레쥬 오리지날허브자연약쑥진정수분크림.xlsx,FJCR001,프레쥬 오리지날 허브 자연약쑥 진정 수분크림,,Kg,,Kg,,,"결

재",담 당,부서장,"*메인탱크에 투입시 100메쉬 여과 거칠 것
*원료 Sepinov EMT-10 뭉친부분 있으면, 철저히 분말화 한후 사용할 것.",총소요시간,*제조량은 제조탱크의 60-80% 사이가 되게 할 것.,9
FJCR002_프레쥬 오리지날자연약쑥진정수분크림.xlsx,FJCR002,프레쥬 오리지날 자연약쑥 진정 수분크림,,Kg,,Kg,,,"결

재",담 당,부서장,"*메인탱크에 투입시 100메쉬 여과 거칠 것
*투입순서 중요",총소요시간,*제조량은 제조탱크의 60-85% 사이가 되게 할 것. (최대 850kg),9
FJCR003_프레쥬 프로모이스처인텐시브크림.xlsx,FJCR003,프레쥬 프로 모이스처 인텐시브 크림,,Kg,,Kg,,,"결

재",담 당,부서장,*3일 이상 숙성후 충진할 것,,,8
FJCR004_프레쥬 유주허니인리치드크림.xlsx,FJCR004,프레쥬 유주 허니 인리치드 크림,,Kg,,Kg,,,"결

재",담 당,부서장,"*제조량은 제조탱크의 60-85% 사이가 되게 할 것. (최대 850kg)
*유화온도 엄수(메인탱크 유화전 스팀 넣을 것)",,,8
FJCR005_프레쥬 어성초블레미쉬수분크림.xlsx,FJCR005,프레쥬 어성초 블레미쉬 수분크림,,Kg,,Kg,,,"결

재",담 당,부서장,"*메인탱크에 투입시 100메쉬 여과 거칠 것
*투입순서 중요",총소요시간,*제조량은 제조탱크의 60-85% 사이가 되게 할 것. (최대 850kg),9
FJCR006_프레쥬 레틴콜라겐 크림(공정).xlsx,FJCR006,프레쥬 레틴 콜라겐 3D 코어 크림,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,"*제조량은 제조탱크의 60-85% 사이가 되게 할 것. (최대 850kg)
*유화온도 엄수(메인탱크 유화전 스팀 넣을 것)",9
FJCR007_프레쥬 바이옴 5-락토 모이스처라이저 공정.xlsx,FJCR007,프레쥬 바이옴 5-락토 밸런스 모이스처라이저,,Kg,,Kg,,,"결

재",담 당,부서장,*원료투입시 100메쉬 여과 거칠 것,총소요시간,,10
FJCR008_프레쥬 알케믹 진세노사이드 인텐스퍼밍 크림 공정.xlsx,FJCR008,프레쥬 알케믹 진세노사이드 인텐스 퍼밍 크림,,Kg,,Kg,,,"결

재",담 당,부서장,,,,8
FJCR009_프레쥬 프로모이스처 세라토 에어리 크림 공정.xlsx,FJCR009,프레쥬 프로 모이스처 세라토 에어리 크림,,Kg,,Kg,,,"결

재",담 당,부서장,"*제조량은 제조탱크의 60-85% 사이가 되게 할 것. (최대 850kg)
",,,8
FJCW001_프레쥬 오리지날허브자연약쑥클렌징워터.xlsx,FJCW001,프레쥬 오리지날 허브 자연약쑥 클렌징워터,,Kg,,Kg,,,"결

재",담 당,부서장,,,,6
FJEC001_프레쥬 유주허니 캡슐 아이크림(공정).xlsx,FJEC001,프레쥬 유주허니 캡슐 아이크림,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,"*제조량은 제조탱크의 60-85% 사이가 되게 할 것. (최대 850kg)
*유화온도 엄수(메인탱크 유화전 스팀 넣을 것)",10
FJEC006_프레쥬 레틴콜라겐 아이크림(공정).xlsx,FJEC006,프레쥬 레틴 콜라겐 3D 코어 아이크림,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,"*유화온도 엄수(메인탱크 유화전 스팀 넣을 것)
*1,2,3차 유화 중간에 멈춤없이 연속작업으로 진행할 것.",9
FJES001_프레쥬 알케믹 진세노사이드 컨투어 아이세럼 공정.xlsx,FJES001,프레쥬 알케믹 진세노사이드 컨투어 아이 세럼,,Kg,,Kg,,,"결

재",담 당,부서장,"*제조량은 제조탱크의 60-85% 사이가 되게 할 것. (최대 850kg)
",,,9
FJEX002_프레쥬 어성초인텐시브카밍에센스 공정도.xlsx,FJEX002,프레쥬 어성초 인텐시브 카밍 에센스,,Kg,,Kg,,,"결

재",담 당,부서장," - 탈포 최대한 할 것 (자연탈포 잘 안됨)  
 - 특히 동절기에 상온(28-33도)상태의 공정을 유지해야 투명하게 제조된다.",,,8
FJEX003_프레쥬 오리지날자연약쑥 파하필링에센스 공정도.xlsx,FJEX003,프레쥬 오리지날 자연약쑥 파하 필링 에센스,,Kg,,Kg,,,"결

재",담 당,부서장," - 탈포 최대한 할 것 (자연탈포 잘 안됨)  
 - 특히 동절기에 상온(28-33도)상태의 공정을 유지해야 투명하게 제조된다.",,,7
FJFC002_프레쥬 오리지날허브자연약쑥클렌징폼.xlsx,FJFC002,프레쥬 오리지날 허브 자연약쑥 클렌징폼,,Kg,,Kg,,,"결

재",담 당,부서장,"*일정 점/경도가 생성되기 전까지 냉각 교반할 것.
*솔잎가루 균일분산에 주의할 것.
* 1300가마 기준 830kg 초과 제조하지말 것",,,8
FJFC003_프레쥬 어성초 블레미쉬약산성클렌징폼.xlsx,FJFC003,프레쥬 어성초 블레미쉬 약산성 클렌징폼,,Kg,,Kg,,,"결

재",담 당,부서장,"여드름완화 기능성화장품
제조량 최대 830kg
",,,8
FJFC004_프레쥬 유주허니 올클리어클렌징폼.xlsx,FJFC004,프레쥬 유주허니 올 클리어 클렌징폼,,Kg,,Kg,,,"결

재",담 당,부서장,*호모믹서 가마 사용할 것.,,,7
FJFC005_프레쥬 레틴콜라겐3D코어 클렌징폼.xlsx,FJFC005,프레쥬 레틴 콜라겐 3D 코어 클렌징폼,,Kg,,Kg,,,"결

재",담 당,부서장,"*호모믹서 가마 사용할 것.
*31**분산 공정은 하루전을 넘기지 말것, 하루전 불가시 당일 작업을 택할 것.",,,7
FJGB001_프레쥬 어성초 블레미쉬 클렌징 젤밤 공정.xlsx,FJGB001,프레쥬 어성초 블레미쉬 클렌징 젤 밤,,Kg,,Kg,,,"결

재",담 당,부서장,,,,7
FJGC007_프레쥬 바이옴 락토-5 밸런스 젤클렌저 공정.xlsx,FJGC007,프레쥬 바이옴 5-락토 밸런스 젤 클렌저,,Kg,,Kg,,,"결

재",담 당,부서장,*호모믹서 가마 사용할 것.,,,7
FJLM_프레쥬 립슬리핑마스크 2종.xlsx,FJLM002,프레쥬 유주허니 립 슬리핑 마스크,,Kg,,Kg,,,"결

재",담 당,부서장,,,,5
FJLO001_프레쥬 레틴콜라겐 립오일 공정.xlsx,FJLO001,프레쥬 레틴콜라겐 3D 코어 립 오일,,Kg,,Kg,,,"결

재",담 당,부서장,,,,7
FJMK003_프레쥬 프로모이스처 밀크토닝클레이마스크 공정.xlsx,FJMK003,프레쥬 프로 모이스처 밀크 토닝 클레이 마스크,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,*제조량은 제조탱크의 50-85% 사이가 되게 할 것. (최대 850kg),10
FJMK004_프레쥬 유주허니 안티멜라캡슐마스크 공정.xlsx,FJMK004,프레쥬 유주허니 안티 멜라 캡슐 마스크,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,*제조량은 제조탱크의 45-85% 사이가 되게 할 것. (최대 850kg),9
FJMK005_프레쥬 어성초 포어멜팅겔마스크 공정.xlsx,FJMK005,프레쥬 어성초 포어 멜팅 겔 마스크,,Kg,,Kg,,,"결

재",담 당,부서장,*제조량은 제조탱크의 45-85% 사이가 되게 할 것. (최대 850kg),,,10
FJMK006_프레쥬 레틴콜라겐래디언스마스크 공정.xlsx,FJMK006,프레쥬 레틴 콜라겐 3D 코어 래디언스 마스크,,Kg,,Kg,,,"결

재",담 당,부서장,,,,8
FJMK007_프레쥬 바이옴 리텍스처라이징 로지 마스크 공정.xlsx,FJMK007,프레쥬 바이옴 5-락토 리텍스쳐라이징 로지 마스크,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,*제조량은 제조탱크의 50-85% 사이가 되게 할 것. (최대 850kg),11
