id,supplier,fragrance_code,fragrance_name,source_filename
c2e548bc-59ae-48c4-a137-e7443e6dde8e,고려에프엔에프,A63454,AIR FRESHNER A63454,AIR FRESHNER A63454_ALLERGY DATA.xlsx
73eed36a-9fce-4c5e-b417-b080826c1ab0,고려에프엔에프,A73993,BODY WASH A73993,BODY WASH A73993_ALLERGY DATA.xlsx
af42ca70-8667-4f7a-a22e-1b13495fbab0,고려에프엔에프,69418,DIFFUSER 69418,DIFFUSER 69418_ALLERGY DATA.xlsx
390b5c8a-6491-4644-91a0-70036cb64a1f,고려에프엔에프,69419,DIFFUSER 69419,DIFFUSER 69419_ALLERGY DATA.xlsx
f37ef16d-6b79-4bf6-aee7-49a9c551a429,고려에프엔에프,A95054,FRAGRANCE A95054,FRAGRANCE A95054_ALLERGY DATA.xlsx
cc155547-9957-4a9e-96d9-eb64f5683211,고려에프엔에프,A95055,FRAGRANCE A95055,FRAGRANCE A95055_ALLERGY DATA.xlsx
5871414a-f11f-4d2b-a081-920624ba6907,고려에프엔에프,C93714,FRAGRANCE C93714,FRAGRANCE C93714_ALLERGY DATA.xlsx
0e0590c1-c7f6-4ab0-a832-ce49196f6b32,고려에프엔에프,79102,HAND CARE 79102,HAND CARE 79102_ALLERGY DATA.xlsx
075233ce-fefd-4a67-a1ad-a0153784425d,고려에프엔에프,15959,MASCULINE 15959,MASCULINE 15959_ALLERGY DATA.xlsx
71a13f31-7ba8-444f-83ff-eb7f40a745b1,고려에프엔에프,16677,MASCULINE 16677,MASCULINE 16677_ALLERGY DATA.xlsx
786a5fee-18d8-4064-b6bb-9ed2a3a04856,고려에프엔에프,71484,PEACH 71484,PEACH 71484_ALLERGY DATA.xlsx
33928283-be87-4bff-aa19-d3b7675ac083,고려에프엔에프,B30373,SHAMPOO B30373,SHAMPOO B30373_ALLERGY DATA.xlsx
449b8bbf-dc90-4a00-af70-990f26126138,고려에프엔에프,A22576,SHOWER COLOGNE A22576/LF,SHOWER COLOGNE A22576 LF_ALLERGY DATA.xlsx
dfaac9d1-3365-4b92-8751-4524166a40f7,고려에프엔에프,29954,BABY CARE 29954/BF,BABY CARE 29954 BF_ALLERGY DATA.xlsx
d26e8161-cb09-48d3-995d-26cade0e5fab,고려에프엔에프,71562,BODY CARE 71562/R,BODY CARE 71562 R_ALLERGY DATA.xlsx
8c37d176-6868-424a-8930-3447ec26fe56,고려에프엔에프,73121,BODY CARE 73121N,BODY CARE 73121N_ALLERGY DATA_26항목.xlsx
71044d51-b588-4c64-81a6-8f2f7a0fe764,고려에프엔에프,73126,BODY CARE 73126,BODY CARE 73126_ALLERGY DATA.xlsx
b58a8a13-1f03-47e5-9942-0deb164a015c,고려에프엔에프,73625,BODY CARE 73625 ALLERGY DATA,BODY CARE 73625 ALLERGY DATA.xlsx
07d00e38-4952-4b93-b1c8-a124fdc99a3e,고려에프엔에프,74832,BODY CARE 74832,BODY CARE 74832_ALLERGY DATA.xlsx
3be098bc-ce3c-4e97-ba2b-00d2232f5e3e,고려에프엔에프,76826,BODY CARE 76826/BF,BODY CARE 76826 BF_ALLERGY DATA.xlsx
3cd35ceb-6db8-495f-9eeb-1731cb8f0e99,고려에프엔에프,78144,BODY CARE 78144/BF,BODY CARE 78144 BF_ALLERGY DATA.xlsx
51ae1eec-2cb6-41b7-8df0-f032f8b5efd1,고려에프엔에프,78443,BODY CARE 78443N,BODY CARE 78443N_ALLERGY DATA.xlsx
e7cd7455-e028-4307-a3c3-895ac93a8ae5,고려에프엔에프,79312,BODY CARE 79312 ALLERGY DATA,BODY CARE 79312 ALLERGY DATA.xlsx
d22acca8-4ba5-48b4-b8ab-238ed38dc10f,고려에프엔에프,79315,BODY CARE 79315 ALLERGY DATA,BODY CARE 79315 ALLERGY DATA.xlsx
c46ff5df-123b-4aa6-91c5-4e59e6355cfd,고려에프엔에프,79787,BODY CARE 79787 ALLERGY DATA,BODY CARE 79787 ALLERGY DATA.xlsx
16846bca-bb94-4a01-9ae4-407ec969e74f,고려에프엔에프,79805,BODY CARE 79805/BF,BODY CARE 79805 BF_ALLERGY DATA.xlsx
b8ddd3ba-a23d-471e-97a4-b1ca58db35c2,고려에프엔에프,A70234,BODY CARE A70234,BODY CARE A70234_ALLERGY DATA.xlsx
73b8b7eb-3344-47b2-9b34-e4491d038a82,고려에프엔에프,A70499,BODY CARE A70499 ALLERGY DATA,BODY CARE A70499 ALLERGY DATA.xlsx
dfc33ebe-4a1c-4a61-b502-2c4e10c679d8,고려에프엔에프,A70751,BODY CARE A70751/BF,BODY CARE A70751 BF_ALLERGY DATA.xlsx
729b2947-d635-4ec9-9fff-daa4e3e2ecde,고려에프엔에프,A70797,BODY CARE A70797/BF,BODY CARE A70797 BF_ALLERGY DATA.xlsx
4b591df8-69ed-4a9f-8f3d-b0758912ee35,고려에프엔에프,A71866,BODY CARE A71866,BODY CARE A71866_ALLERGY DATA.xlsx
94b67318-51cc-4ec7-8c90-6ce97d0479fe,고려에프엔에프,A71902,BODY CARE A71902,BODY CARE A71902_ALLERGY DATA.xlsx
370923bb-bbb0-44bb-984a-647634796453,고려에프엔에프,A71905,BODY CARE A71905,BODY CARE A71905_ALLERGY DATA.xlsx
90623e5e-0837-4e46-8d0b-f3fc342f8fb1,고려에프엔에프,A71986,BODY CARE A71986,BODY CARE A71986_ALLERGY DATA.xlsx
159ad5bc-81ba-450d-b2f5-dbfbff7c7598,고려에프엔에프,A73561,BODY CARE A73561,BODY CARE A73561_ALLERGY DATA.xlsx
60659ca1-e43c-4fb7-92dd-6f0d0962d18e,고려에프엔에프,A73562,BODY CARE A73562/BF,BODY CARE A73562 BF_ALLERGY DATA.xlsx
f82bd6cd-965e-4a40-935e-8be539988044,고려에프엔에프,A73565,BODY CARE A73565,BODY CARE A73565_ALLERGY DATA.xlsx
c354e609-705e-4eda-94b2-24603bc851e9,고려에프엔에프,A73997,BODY CARE A73997/BF,BODY CARE A73997 BF_ALLERGY DATA.xlsx
fa144b50-db66-4b63-af15-decfbd850177,고려에프엔에프,A74182,BODY CARE A74182,BODY CARE A74182_ALLERGY DATA.xlsx
ae8be16a-719d-4c90-a5f5-c2ede41542b7,고려에프엔에프,A74227,BODY CARE A74227,BODY CARE A74227_ALLERGY DATA.xlsx
32c439a5-9ec4-4b0f-bc52-85843df63518,고려에프엔에프,A74229,BODY CARE A74229,BODY CARE A74229_ALLERGY DATA.xlsx
7640b603-af0a-4011-b870-c4c87757f3a8,고려에프엔에프,A74232,BODY CARE A74232,BODY CARE A74232_ALLERGY DATA.xlsx
0324dc3c-3d42-464c-901e-68e3ac74a579,고려에프엔에프,A76157,BODY CARE A76157/BF,BODY CARE A76157 BF_ALLERGY DATA.xlsx
8eb82829-69d0-4fdb-8dbe-94907edfc7b4,고려에프엔에프,A76443,BODY CARE A76443/BF,BODY CARE A76443 BF_ALLERGY DATA.xlsx
badc6661-57b7-4264-a7a5-7b4c37a5b165,고려에프엔에프,A78500,BODY CARE A78500,BODY CARE A78500_ALLERGY DATA.xlsx
cd3a9af5-bc18-4c4e-98fd-76eda056c3c6,고려에프엔에프,B71470,BODY CARE B71470,BODY CARE B71470_ALLERGY DATA.xlsx
c0f906be-5fd6-49ef-b7de-29e5fdcfa4e8,고려에프엔에프,B71471,BODY CARE B71471 -----그린버드,BODY CARE B71471_ALLERGY DATA에바스그린버드.xlsx
ee09e3bd-64c1-40c0-8984-5c7bca970ea6,고려에프엔에프,B71588,BODY CARE B71588/BF,BODY CARE B71588 BF_ALLERGY DATA.xlsx
d968d1f0-68a1-41b3-b605-f367dbd48206,고려에프엔에프,B71590,BODY CARE B71590,BODY CARE B71590_ALLERGY DATA.xlsx
a7f4249f-5024-4f68-a7cf-6bbce689801f,고려에프엔에프,B72755,BODY CARE B72755,BODY CARE B72755_ALLERGY DATA.xlsx
0150dbf7-46d5-4e14-ac25-77ee96f3fb61,고려에프엔에프,B72756,BODY CARE B72756,BODY CARE B72756_ALLERGY DATA.xlsx
c8a09318-90eb-4055-8e7a-78e3cb16eae7,고려에프엔에프,B74591,BODY CARE B74591,BODY CARE B74591_ALLERGY DATA.xlsx
2d2a60ca-0177-4fa8-a264-c458d60f49e9,고려에프엔에프,B74999,BODY CARE B74999,BODY CARE B74999_ALLERGY DATA.xlsx
e9a462c2-279a-4707-ac0a-84f6f559ce2f,고려에프엔에프,B75244,BODY CARE B75244,BODY CARE B75244_ALLERGY DATA.xlsx
6713a2bb-bd06-4bb8-aa36-aa5c05062533,고려에프엔에프,B77016,BODY CARE B77016,BODY CARE B77016_ALLERGY DATA.xlsx
55f9ee7e-1fa6-473c-ae92-eaf64fd8df91,고려에프엔에프,B77017,BODY CARE B77017,BODY CARE B77017_ALLERGY DATA.xlsx
d356d2e6-cb2e-49a8-9824-c2956186a6d7,고려에프엔에프,B77646,BODY CARE B77646,BODY CARE B77646_ALLERGY DATA.xlsx
1644de0e-708a-4f90-b785-ac0c59dbb294,고려에프엔에프,B79304,BODY CARE B79304,BODY CARE B79304_ALLERGY DATA.xlsx
0d989562-9247-43c5-a213-518bc630923f,고려에프엔에프,C71340,BODY CARE C71340,BODY CARE C71340_ALLERGY DATA.xlsx
ed06bdb6-b9c1-4f33-8d14-8f450d219eb1,고려에프엔에프,C71341,BODY CARE C71341,BODY CARE C71341_ALLERGY DATA.xlsx
e101a871-30a4-41ca-ad69-e46151533221,고려에프엔에프,C71343,BODY CARE C71343,BODY CARE C71343_ALLERGY DATA.xlsx
251e7e8e-0f1e-4d7a-905c-e9635375bc15,고려에프엔에프,C71345,BODY CARE C71345,BODY CARE C71345_ALLERGY DATA.xlsx
0adf7226-7a68-4085-81d3-f83fd5783de7,고려에프엔에프,C74604,BODY CARE C74604,BODY CARE C74604_ALLERGY DATA.xlsx
148dc32b-f9fd-4cf0-a4bb-9972ec110c4a,고려에프엔에프,C75743,BODY CARE C75743,BODY CARE C75743_ALLERGY DATA.xlsx
f0c63b23-d821-4006-af14-91932cb273c7,고려에프엔에프,C76834,BODY CARE C76834,BODY CARE C76834_ALLERGY DATA.xlsx
154925db-77d5-4076-8d93-2502fba2426c,고려에프엔에프,C77109,BODY CARE C77109,BODY CARE C77109_ALLERGY DATA.xlsx
0e0f620f-4b00-4310-b30c-5410a2ac453e,고려에프엔에프,C77110,BODY CARE C77110,BODY CARE C77110_ALLERGY DATA.xlsx
7b4d145e-ee7a-4851-be48-ce9a28ced8f1,고려에프엔에프,C77113,BODY CARE C77113,BODY CARE C77113_ALLERGY DATA.xlsx
816e0049-8824-492a-b413-32868bca8c25,고려에프엔에프,C77322,BODY CARE C77322,BODY CARE C77322_ALLERGY DATA_26항목.xlsx
70e909f6-af3e-4a8a-9644-995be6d6c2d1,고려에프엔에프,D73778,BODY CARE D73778,BODY CARE D73778_ALLERGY DATA.xlsx
e1770314-48a4-4d7c-b477-e3f278c863dc,고려에프엔에프,D73887,BODY CARE D73887,BODY CARE D73887_ALLERGY DATA.xlsx
2f7ed273-b181-4df8-8c95-6e294c6d527f,고려에프엔에프,D73994,BODY CARE D73994,BODY CARE D73994_ALLERGY DATA.xlsx
461919cc-e816-4c50-bf6c-5961a0893514,고려에프엔에프,D75821,BODY CARE D75821,BODY CARE D75821_ALLERGY DATA.xlsx
5f0c4dad-51e0-4d1d-813a-f3eb036e82cf,고려에프엔에프,D76437,BODY CARE D76437,BODY CARE D76437_ALLERGY DATA.xlsx
a2c67501-5a55-4a86-9223-7c89e740dd1d,고려에프엔에프,D77333,BODY CARE D77333,BODY CARE D77333_ALLERGY DATA (1).xlsx
ce48550e-f9c5-478a-9712-02e58ac3615a,고려에프엔에프,A77013,BODY MIST A77013,BODY MIST A77013_ALLERGY DATA.xlsx
1d61f57d-6998-43a5-9593-a5779ec108d8,고려에프엔에프,B76462,BODY MIST B76462,BODY MIST B76462_ALLERGY DATA.xlsx
78845e70-1b3c-4672-8e31-6f1293a821eb,고려에프엔에프,B76501,BODY MIST B76501,BODY MIST B76501_ALLERGY DATA.xlsx
d065b931-94de-48a4-bfe2-2916f4173489,고려에프엔에프,96878,CANDLE 96878,CANDLE 96878_ALLERGY DATA.xlsx
776e76c2-a30c-4407-a1d2-e8dbfb9f0c12,고려에프엔에프,97231,CANDLE 97231,CANDLE 97231_ALLERGY DATA.xlsx
58c95059-7a1a-4745-a5c6-94be90d39390,고려에프엔에프,97235,CANDLE 97235,CANDLE 97235_ALLERGY DATA.xlsx
f7229bc3-2260-42ef-8350-04d2e404d4dc,고려에프엔에프,97622,CANDLE 97622,CANDLE 97622_ALLERGY DATA.xlsx
37a37804-9ffb-4579-83f6-b089af186955,고려에프엔에프,97623,CANDLE 97623,CANDLE 97623_ALLERGY DATA.xlsx
f7030a96-c62b-4fcd-b18d-cf53045e7c34,고려에프엔에프,99626,CANDLE 99626,CANDLE 99626_ALLERGY DATA.xlsx
3e8c206f-2e76-4e1e-85ca-e1cd3c88ce38,고려에프엔에프,A33949,HAIR CARE A33949 ALLERGY DATA,HAIR CARE A33949 ALLERGY DATA.xlsx
e2d8b2ba-73f5-4918-9318-803b5c62a2dc,고려에프엔에프,A37662,HAIR CARE A37662,HAIR CARE A37662_ALLERGY DATA.xlsx
b32a6082-7570-4a9f-9ce5-f35110e226d9,고려에프엔에프,C33036,HAIR CARE C33036,HAIR CARE C33036_ALLERGY DATA.xlsx
2bc2a872-d179-4d94-bd25-cbb1d97f974e,고려에프엔에프,C35232,HAIR CARE C35232,HAIR CARE C35232_ALLERGY DATA.xlsx
4073e45b-44ae-4560-a951-163a416d94c0,고려에프엔에프,26000,PERFUME 26000/BF,PERFUME 26000 BF_ALLERGY DATA.xlsx
99df0c4f-90e6-491c-bce3-b878cfbc2348,고려에프엔에프,A27986,PERFUME A27986 ALLERGY DATA,PERFUME A27986 ALLERGY DATA.xlsx
b3950750-7421-40e3-b8d1-c251511f4944,고려에프엔에프,A27987,PERFUME A27987/BF,PERFUME A27987 BF_ALLERGY DATA.xlsx
60e258be-5603-4fa1-8b8a-cc269c55a1bd,고려에프엔에프,A27988,PERFUME A27988 ALLERGY DATA,PERFUME A27988 ALLERGY DATA.xlsx
e5db9001-751a-41f0-a4fa-77a86dba54cc,고려에프엔에프,A28018,PERFUME A28018 ALLERGY DATA,PERFUME A28018 ALLERGY DATA.xlsx
2072026d-4f12-4171-b73b-b57d341853e8,고려에프엔에프,B20020,PERFUME B20020,PERFUME B20020_ALLERGY DATA.xlsx
bf28c71d-0dc1-4319-8386-8996edc1b1c0,고려에프엔에프,B20022,PERFUME B20022/LF,PERFUME B20022 LF_ALLERGY DATA.xlsx
40200ccb-5c81-4ed7-b495-211244d4853c,고려에프엔에프,B20023,PERFUME B20023/LF,PERFUME B20023 LF_ALLERGY DATA.xlsx
6822896d-1be1-4866-ac6f-94b08fcb2dfa,고려에프엔에프,B20584,PERFUME B20584,PERFUME B20584_ALLERGY DATA.xlsx
996c4c5b-0b16-4919-9735-a55f553ad733,고려에프엔에프,B20585,PERFUME B20585,PERFUME B20585_ALLERGY DATA.xlsx
ca88dbaf-66ba-411a-9841-4ae4e93bdd5a,고려에프엔에프,B20587,PERFUME B20587,PERFUME B20587_ALLERGY DATA.xlsx
921977dd-867f-4de1-82b7-eee6d5a7a47b,고려에프엔에프,B20589,PERFUME B20589 ALLERGY DATA,PERFUME B20589 ALLERGY DATA.xlsx
cadeaa9a-7003-4011-882e-d5deb28ace7f,고려에프엔에프,B22581,PERFUME B22581/LF,PERFUME B22581 LF_ALLERGY DATA.xlsx
bff0d044-d38b-462f-b38f-81dc8db6b70a,고려에프엔에프,B22582,PERFUME B22582,PERFUME B22582_ALLERGY DATA.xlsx
0b05fd2a-1f38-4906-83b3-a81d1bb3e6a7,고려에프엔에프,B26624,PERFUME B26624,PERFUME B26624_ALLERGY DATA.xlsx
5afd16cb-8478-4f97-adbc-a6294c7edb15,고려에프엔에프,B26627,PERFUME B26627,PERFUME B26627 ALLERGY DATA.xlsx
ac477635-1bb1-4539-8dad-4a30108dff6c,고려에프엔에프,B26641,PERFUME B26641,PERFUME B26641_ALLERGY DATA.xlsx
91c7a428-4658-4869-a90b-c02cf91c5625,고려에프엔에프,B26642,PERFUME B26642,PERFUME B26642_ALLERGY DATA.xlsx
2dba40a3-890b-4b96-a184-8700b331ce5e,고려에프엔에프,B27553,PERFUME B27553,PERFUME B27553_ALLERGY DATA.xlsx
cc9086a4-0055-4be2-9c45-ebb4e36302f8,고려에프엔에프,B27597,PERFUME B27597,PERFUME B27597_ALLERGY DATA.xlsx
6408b498-e1f9-4610-b035-e9834cd98f88,고려에프엔에프,B27598,PERFUME B27598,PERFUME B27598_ALLERGY DATA.xlsx
bb382332-9b23-48db-82f5-de6524860727,고려에프엔에프,B28339,PERFUME B28339,PERFUME B28339_ALLERGY DATA.xlsx
549f79d7-b369-46e9-8041-80600463f843,고려에프엔에프,B27554,PERFUME BB27554,PERFUME BB27554_ALLERGY DATA.xlsx
