id,supplier,fragrance_code,fragrance_name,source_filename
c15000c9-0cd5-46a7-8f42-74341e74c45e,고려에프엔에프,C20541,PERFUME C20541,PERFUME C20541_ALLERGY DATA.xlsx
9cc1fdbe-a7d5-4d33-a706-825961431414,고려에프엔에프,D21707,PERFUME D21707,PERFUME D21707_ALLERGY DATA.xlsx
930c4444-9d77-4360-9e7c-49801097247c,고려에프엔에프,D21708,PERFUME D21708,PERFUME D21708_ALLERGY DATA.xlsx
c451463e-b4ae-4202-a624-b2fed7719eef,고려에프엔에프,D28777,PERFUME D28777,PERFUME D28777_ALLERGY DATA.xlsx
9e0b8542-4264-4a8e-b0b2-d64a28ecd046,고려에프엔에프,D28779,PERFUME D28779,PERFUME D28779_ALLERGY DATA.xlsx
36b2a79f-3d7e-463c-b9ee-cc23a2845650,고려에프엔에프,F22894,PERFUME F22894,PERFUME F22894_ALLERGY DATA.xlsx
ba5945bf-7a9c-44ea-b101-c480789ff381,고려에프엔에프,F23387,PERFUME F23387,PERFUME F23387_ALLERGY DATA.xlsx
a295b347-7853-462d-b390-3a2ce8491919,고려에프엔에프,A25314,SKIN CARE A25314,SKIN CARE A25314_ALLERGY DATA.xlsx
f13904e5-c61c-40d8-bec8-c2e3d9c8d345,고려에프엔에프,F24307,SKIN CARE F24307,SKIN CARE F24307_ALLERGY DATA_26항목.xlsx
c1642b06-912b-4bac-86ce-474143613b5f,고려에프엔에프,F25491,SKIN CARE F25491 [Allergy free & low],SKIN CARE F25491_ALLERGY DATA.xlsx
58360e33-001a-4a90-9523-73902a37493f,고려에프엔에프,F25567,SKIN CARE F25567,SKIN CARE F25567_ALLERGY DATA_26항목.xlsx
5e0cba05-39e4-42e9-b47f-8ea92dc3cb65,고려에프엔에프,G23403,SKIN CARE G23403,SKIN CARE G23403_ALLERGY DATA.xlsx
b3b2fe08-4221-45cf-9e19-12d434f8fdf9,고려에프엔에프,G23414,SKIN CARE G23414,SKIN CARE G23414_ALLERGY DATA.xlsx
accdf043-adeb-4299-9943-8911954e543b,도터라인,Bergamot Oil,Bergamot Oil,Bergamot Oil Fragrance Allergen.xlsx
63b682e4-e624-4890-80ac-1aa2873f58ab,도터라인,Cypress Oil,Cypress Oil,Cypress Oil.xlsx
bb0bf976-0977-4592-90c8-00d3d66f8ece,도터라인,EUCALYPTUS OIL,EUCALYPTUS OIL,Eucalyptus Oil.xlsx
daf54bb1-0ea4-4e36-b2a1-92ed027cf5f2,도터라인,Litsea Cubeba Oil,Litsea Cubeba Oil,Litsea Cubeba Oil.xlsx
02639af7-639f-4fa4-b941-91dde0f97171,도터라인,Orange Oil Vanencia,Orange Oil Vanencia,Orange Oil Vanencia.xlsx
4f4b9ddc-4dc0-4fa1-b099-36af1688404e,도터라인,Patchouli Oil,Patchouli Oil,Patchouli Oil Allergen Date.xlsx
547e1f3c-7936-408b-abfe-ab96e190a7ab,도터라인,Peppermint Oil,Peppermint Oil,Peppermint Oil.xlsx
55686bf3-0547-4941-8849-ce79c4194163,도터라인,Petitgrain Essential Oil paraguay,Petitgrain Essential Oil paraguay,Petitgrain Oil Allergen Data.xlsx
fe09f552-af8c-4bd5-b1fd-8ded9e30f125,도터라인,Sage Officinalis EO,Sage Officinalis EO,Sage Oil Allergen Data.xlsx
61d980a5-3710-4f9c-9027-1101d5255c02,도터라인,Tea Tree Oil,Tea Tree Oil,Tea Tree Oil.xlsx
ae4b1aa6-5485-4a13-9b13-a599755ed6c7,도터라인,Wintergreen Oil,Wintergreen Oil,Wintergreen Oil Allergen Date.xlsx
9751ab01-0d41-4de8-9f47-074651871585,서울향료,24-11539,PERFUME COMPOUND SP-24-11539,24-11539_ALLERGEN 물질 정보 양식.xlsx
dfb14352-e958-480f-846e-368f395fd8cd,서울향료,24-11561,PERFUME COMPOUND SP-24-11561,24-11561_ALLERGEN 물질 정보 양식.xlsx
33f0ac5c-1b5e-4569-a138-796e59812b5c,서울향료,24-11562,PERFUME COMPOUND SP-24-11562,24-11562_ALLERGEN 물질 정보 양식.xlsx
1bc918ae-a97f-477f-880e-067692dd9d77,서울향료,24-11563,PERFUME COMPOUND SP-24-11563,24-11563_ALLERGEN 물질 정보 양식.xlsx
2a95bc60-25ec-42e4-b1b5-ce798ec8f562,서울향료,24-11571,PERFUME COMPOUND SP-24-11571,24-11571_ALLERGEN 물질 정보 양식.xlsx
1d81aa08-ed95-4f88-a172-ea2bade06e88,서울향료,24-11644,PERFUME COMPOUND SP-24-11644,24-11644_ALLEGEN 물질 정보.xlsx
1944ef29-7ea7-45c0-8d3f-4be8f236fb58,서울향료,24-11646,PERFUME COMPOUND SP-24-11646,24-11646_ALLEGEN 물질 정보.xlsx
ac7f51b7-1655-440b-9064-e48bbe57fb6c,서울향료,24-13483,PERFUME COMPOUND SP-24-13483,24-13483_ALLEGEN 물질 정보.xlsx
32602cef-2877-4d80-96c5-4e328fa8e462,서울향료,25-21529,PERFUME COMPOUND SP-25-21529,25-21529_ALLEGEN 물질 정보.xlsx
c67f03fa-319f-4e58-adb5-37db5f10e3d9,서울향료,PERFUME COMPOUND SP-46732N,PERFUME COMPOUND SP-46732N,46732N_ALLERGEN 물질 정보 양식.xlsx
84e28bba-3cde-4643-a30c-5b84637dfd2a,서울향료,PERFUME COMPOUND SP-47561,PERFUME COMPOUND SP-47561,47561 ALLERGEN LIST 물질정보양식.xlsx
6a06f416-52be-4d5d-bad4-4b8e234b2aad,서울향료,PERFUME COMPOUND SP-72880,PERFUME COMPOUND SP-72880,72880_ALLERGEN 물질 정보 양식.xlsx
be98702f-0e07-456e-9a9c-7fbc3c2c6034,서울향료,SP-73406,SP-73406,73406 ALLERGEN 물질 정보 양식.xlsx
9429ff88-cec8-41bf-9cfe-efb9e8417207,서울향료,PERFUME COMPOUND SP-75446,PERFUME COMPOUND SP-75446,75446_물질 정보 양식_TAMPLATE OF EXTENDED ALLERGENS_83항목.xlsx
53aede4e-08f5-49df-acdd-b37dc9531c80,서울향료,PERFUME COMPOUND SP-84784,PERFUME COMPOUND SP-84784,84784 ALLERGEN 물질 정보 양식.xlsx
328dfdb2-313c-4fb3-a300-beeeabdad880,서울향료,SP-44861,RSP-44861,SP-44861.xlsx
a424fc0c-1530-4412-bce5-74f8d4808e1a,서울향료,SP-46698,RSP-46698,SP-46698.xlsx
011487fd-6e46-458b-9aae-9143f567cf2c,서울향료,SP-46732,PERFUME COMPOUND SP-46732N,SP-46732N.xlsx
a82f7744-6025-4857-ad10-035d33e680b6,서울향료,SP-47337,RSP-47337R,SP-47337R.xlsx
13061b72-6fa5-4892-8db0-ee4bec6290c5,서울향료,SP-47341,SP-47341N,SP-47341N.xlsx
ca15a795-cb16-44bc-8210-5b1ab964d92d,서울향료,SP-47468,SP-47468,SP-47468.xlsx
a2b519e2-88d3-45be-8b01-8114f2ba4516,서울향료,SP-48001,SP-48001,SP-48001.xlsx
b862c8a9-06be-4a52-851a-49b03c7f1ac6,서울향료,SP-48558,SP-48558,SP-48558.xlsx
ec25158f-8b4b-4c49-aa95-5cd5250a99ff,서울향료,SP-49820,SP-49820,SP-49820.xlsx
29d6e426-6751-4c1b-87e5-45310b42da03,서울향료,SP-51362,SP-51362,SP-51362.xlsx
298432b2-3dc1-48ed-8ccc-d1dda1ccc949,서울향료,SP-51363,SP-51363,SP-51363.xlsx
7f1bf464-1b82-4c3b-83e8-c516e662b8d6,서울향료,SP-52027,SP-52027,SP-52027.xlsx
f7f2e01b-d905-48a3-907f-ab4a5576f674,서울향료,SP-52029,SP-52029,SP-52029.xlsx
02edd119-79e1-4233-8355-f25089b52748,서울향료,SP-52030,SP-52030,SP-52030.xlsx
5774e0a6-3b05-428e-a44b-70873b07e706,서울향료,SP-52463,SP-52463LF,SP-52463LF.xlsx
af60fca1-a35f-4a78-acd6-1c89b16ed5c2,서울향료,SP-52496,SP-52496,SP-52496.xlsx
0bd77a46-b56d-487f-a201-32dc8316178f,서울향료,SP-53046,SP-53046,SP-53046.xlsx
ae24d78c-2535-43b9-8710-5771d0a1f678,서울향료,SP-53050,SP-53050,SP-53050.xlsx
9e7b42d0-c3f7-467b-be99-a8bd9f6fd2ba,서울향료,SP-53748,SP-53748,SP-53748.xlsx
224a9010-80fd-4711-8870-4d27a5fbe5c6,서울향료,SP-58351,SP-58351,SP-58351.xlsx
ec54567f-6776-4668-869f-65cd92074bc1,서울향료,SP-58562,SP-58562,SP-58562.xlsx
07cbd3fb-e3c8-4a74-8746-bc70412947b3,서울향료,SP-58794,SP-58794,SP-58794.xlsx
400f5375-2a45-4fb0-b998-3f59d970e332,서울향료,SP-58814,SP-58814,SP-58814.xlsx
3435ab04-bbff-4444-a340-06c3fb732d55,서울향료,SP-59739,SP-59739,SP-59739.xlsx
1c9cc75b-3c97-46fc-8b9c-43e07a568cce,서울향료,SP-61470,SP-61470,SP-61470.xlsx
04dc9649-5bb3-4a29-a606-e83547d5753c,서울향료,SP-64079,SP-64079,SP-64079.xlsx
086a5e9d-6e9a-45eb-86af-4002dfb5adf3,서울향료,SP-64080,SP-64080,SP-64080.xlsx
3ecb1362-6aba-41fb-8af3-a6cee8a2118b,서울향료,SP-66896,SP-66896,SP-66896.xlsx
f7055ea8-9f60-4da1-81c4-c552f66e31b5,서울향료,SP-70394,SP-70394,SP-70394.xlsx
6c6e21a5-4880-4b26-bbdd-65f25fa1ff51,서울향료,SP-70395,SP-70395,SP-70395.xlsx
2ea8ade6-af60-4daf-b10b-794695b4702c,서울향료,SP-70396,SP-70396,SP-70396.xlsx
ba62b124-da82-43b8-8ba4-fe8d4fc50022,서울향료,SP-71732,SP-71732,SP-71732.xlsx
2c581309-8319-4d1c-be12-2241aba47c03,서울향료,SP-71888,SP-71888,SP-71888.xlsx
59eb8599-0e7d-4a22-94fe-ed333c378399,서울향료,SP-72877,SP-72877,SP-72877.xlsx
a1fdecc2-484e-4650-a8a7-601574d867b6,서울향료,SP-72878,SP-72878,SP-72878.xlsx
73671939-1332-4ae0-97dc-447389682eb2,서울향료,SP-75446,SP-75446,SP-75446.xlsx
71293d4f-fab6-45cb-ae59-ec0b613a4c98,서울향료,SP-81309,PERFUME COMPOUND SP-81309,SP-81309.xlsx
f8e1af1c-90d7-47c5-b504-4d997826f620,서울향료,SP-84979,PERFUME COMPOUND SP-84979,SP-84979 ALLERGEN 물질 정보 양식 (3).xlsx
1a7bcd85-b576-4e17-b50a-d43afd4f8fa0,키맥스,FR60214837,Art Show FR60214837,알러지리스트_Art Show A CSN040444.xlsx
3442a1c1-c0ec-47b2-8efc-5e023d546b22,키맥스,CSN040444,Art Show A CSN040444,알러지리스트_Art Show A CSN040444.xlsx
34470927-4f89-42c8-82df-3c91d5ce93d5,키맥스,FY10014377,Black Volume FY10014377,알러지리스트_Art Show A CSN040444.xlsx
d93aa6b6-68cb-4544-b57c-5c341d8d239a,키맥스,FY4017811,Charming Bouquet FY4017811,알러지리스트_Art Show A CSN040444.xlsx
43e3e8f3-bb04-43b7-bb9f-b7cd9a7e5e96,키맥스,FW9013575,Cologne Eva FW9013575,알러지리스트_Art Show A CSN040444.xlsx
8482c288-2069-488c-b596-8a060a4019e9,키맥스,FZ10017805,EBS Plus FZ10017805,알러지리스트_Art Show A CSN040444.xlsx
c12444ee-2ae9-4020-b20d-a5f21c7e1a78,키맥스,CSN040445,EBS Plus A CSN040445,알러지리스트_Art Show A CSN040444.xlsx
c2b75382-5c66-47ec-a288-3d7be4fdb0e6,키맥스,FY8008187,Ferra One FY8008187,알러지리스트_Art Show A CSN040444.xlsx
403481f6-a9cb-462e-824a-98f695a08f01,키맥스,FO5021665,Ginger Mild FO5021665,알러지리스트_Art Show A CSN040444.xlsx
ab021205-0a8e-4838-8257-e85f77b9d950,키맥스,FT7017810,Herbal Yours FT7017810,알러지리스트_Art Show A CSN040444.xlsx
5ccb870b-330b-47fa-af2b-2ac88cb87f2b,키맥스,FL3011013,KX EV 1293 FL3011013,알러지리스트_Art Show A CSN040444.xlsx
a6784e71-b2ba-459e-acba-f14968952b5e,키맥스,FK8010250,KX EV 2121 FK8010250,알러지리스트_Art Show A CSN040444.xlsx
c80cbfcc-3c95-4810-97c9-c8d958f51a29,키맥스,FG2016624,KX EV 2106 FG2016624,알러지리스트_Art Show A CSN040444.xlsx
3c8b8fb9-eae8-4ca7-9356-9af1008be9e9,키맥스,CSN085241,Black Volume A CSN085241,알러지리스트_Black Volume A CSN085241.xlsx
5bc6b8ff-661d-4199-9978-f7e9f96211d7,키맥스,CSN078041,Luminous Miracle CSN078041,알러지리스트_Black Volume A CSN085241.xlsx
e7cc8300-cd96-4929-bff3-fdabb5d6d09e,키맥스,CSN098974,Black Volume B CSN098974,알러지리스트_Black Volume B CSN098974_Allergen 80+_250822.xlsx
7cb9db1b-ef70-4378-a5f3-cdc28c312f19,타임향료,COLLAGEN 100813,COLLAGEN 100813,ALLERGENS CERTIFIED_Rosemary Oil.xlsx
9f4d428e-be53-495d-af1b-16ccfe1c9102,타임향료,20211221,STELLA 9111358,에바스코스메틱 ALLERGENS CERTIFIED (타임향료 공급원료 총정리)_20211221.xlsx
6aa2738f-8f67-4ba3-b0b3-25764e880489,타임향료,200602,ESSENTIAL COMPLEX 200602,ESSENTIAL COMPLEX 200602 ALLERGENS CERTIFIED.xls
7c387524-b96c-49e3-a4f8-45794aa5e335,타임향료,190601,ESSENTIAL COMPLEX 190601,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
77c4603b-4091-49dd-8f52-781334d4146d,타임향료,100813,COLLAGEN 100813,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
c049b7ea-1eca-4ebf-a85d-4bc24c3d2a5a,타임향료,60891,TEVB 60891,에바스코스메틱 TEVB 60891 ALLERGENS CERTIFIED.xls
b3af85c9-8e73-4ad9-b9c0-052aed02b7d2,한불화농 향알러지데이타 20190307,15196,BODY CARE 95-H15196/R,BODY CARE 95-H15196R ALLERGEN.xlsx
de2046e1-0df4-47be-8110-89cb55c68450,한불화농 향알러지데이타 20190307,15194,BODY CLEANSER A15194/R,BODY CLEANSER A15194R ALLERGEN.xlsx
f31b1477-b7ef-4876-a55c-1ca9bfcbb65f,한불화농 향알러지데이타 20190307,15752,BODY CLEANSER A15752/R1,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
1df1f6be-0050-4905-a87a-e2b2c834df27,한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
7293a720-1457-416b-b0d3-6063dc7801a7,한불화농 향알러지데이타 20190307,04546,FLORAL FRESH 15P04546,FLORAL FRESH 15P04546 ALLERGEN.xlsx
a5e6248e-3f0c-4293-88e8-8145c1e590ea,한불화농 향알러지데이타 20190307,50866,FLORAL FRUITY D50866,FLORAL FRUITY D50866 (ALLERGEN).xlsx
78984d4c-cdbd-4741-8b12-fd0abeec8125,한불화농 향알러지데이타 20190307,15336,FLORAL POWDERY 95-L15336/R,FLORAL POWDERY 95-L15336R ALLERGEN.xlsx
994d1058-1c4e-455f-87f3-15fba3a917c1,한불화농 향알러지데이타 20190307,02170,GRAPEFRUIT 95-15P02170,GRAPEFRUIT 95-15P02170 ALLERGEN.xlsx
9631e5d6-88d9-43ac-9b35-5b931278ac84,한불화농 향알러지데이타 20190307,11408,MASCULINE F11408/R3,MASCULINE F11408R3 ALLERGEN.xlsx
406d2b1d-22a0-4655-a730-2f1084db7065,한불화농 향알러지데이타 20190307,01020,PERFUME 10P01020,PERFUME 10P01020 ALLERGEN.xlsx
a5fc3e48-a72b-47e0-b585-98d60e756753,한불화농 향알러지데이타 20190307,11595,SHAMPOO 5P11595,SHAMPOO 5P11595 (ALLERGEN).xlsx
bc7766ad-68a2-4d20-a9ea-19f6c100298d,한불화농 향알러지데이타 20190307,50245,SHAMPOO A50245,SHAMPOO A50245 ALLERGEN.xlsx
88732fcb-340c-457e-a76f-6a20976116b3,한불화농 향알러지데이타 20190307,10961,SHOWER COLOGNE D10961/R,SHOWER COLOGNE D10961R ALLERGEN.xlsx
1e0bbd56-beaf-4e38-834b-27bb2c74aa64,한불화농 향알러지데이타 20190307,10041,SHOWER COLOGNE E10041/R,SHOWER COLOGNE E10041R ALLERGEN.xlsx
e5097ad8-46c7-4ba5-b090-5fbf4811c753,한불화농 향알러지데이타 20190307,10043,SHOWER COLOGNE E10043/R3,SHOWER COLOGNE E10043R3 ALLERGEN.xlsx
c9930add-c7a4-467e-b017-4e597359db1b,한불화농 향알러지데이타 20190307,48120,SKIN CARE A48120,SKIN CARE A48120 (ALLERGEN).xlsx
ff93b0c8-0b5c-4d52-920c-1111102bae2c,한불화농 향알러지데이타 20190307,71044,STRAWBERRY A71044,STRAWBERRY A71044 ALLERGEN.xlsx
9b791195-122d-405e-8ee6-9cff12b3476f,한불화농 향알러지데이타 20190307,15459,동백 J15459,동백 J15459 ALLERGEN.xlsx
