product_code,revision_no,revision_date,revision_content
JOFC001,1,2023-02-07,
JOFC001,2,2023-02-01,
JOCO001,1,2023-02-07,
JOCO001,2,2023-05-31,
NPBC005,1,2022-09-02,
JOSC001,1,2020-09-14,
JOSC001,2,2023-05-31,
JOSC001,3,2023-12-06,
JOSCP01,1,2020-09-14,
JOSCP01,2,2023-05-31,
JOSCP01,3,2023-12-06,
VMSS001,1,2020-07-24,
RRBM010,1,2021-11-01,
RRBM010,2,2023-01-02,
RRBM010,3,2023-04-28,
RRBM011,1,2021-11-01,
RRBM011,2,2023-01-02,
RRBM011,3,2023-04-28,
FJCR004,1,2023-10-23,
FJCB001,1,2024-11-22,
JOPK004,1,2023-05-31,
JOPKP04,1,2023-05-31,
JOPK005,1,2023-01-31,
JOPK005,2,2023-06-01,
JOPKP05,1,2023-01-31,
JOPKP05,2,2023-06-01,
JOPK006,1,2023-05-16,
JOPK006,2,2024-02-23,
RPBC001,2,,2018.12.6
RPBC002,2,,2017.08.23
RPBC003,2,,2017.08.11
RMSG001,2,,2024.06.10
RMSG002,2,,2024.06.10
RSCO000,2,,2016.02.03
RSCO000,3,,2016.09.20
RSCO000,4,,2016.09.20
PDIR001,2,,2019.02.08
RPBC004,2,,2017.11.20
RPBC005,2,,2018.04.26
RPBC006,2,,2018.12.06
RPBC006,3,,2022.0
RPBC007,2,,2017.11.09
PDIC000,1,,2018.12.20
AOBC000,2,,2016.09.30
AOBC000,3,,2022.06.16
BBHC001,2,,2022.07.14
BBHC002,2,,2022.07.14
BBHC003,2,,2022.07.14
BBHC004,2,,2022.07.14
BBHC005,2,,2022.07.14
BBHC006,2,,2022.07.14
PDIR002,2,,2016.10.12
RPBC008,1,,2016.11.1
RPBC008,2,,2018.02.26
MLBC003,1,,2016.11.1
PDIR003,1,,2016.10.12
PDIR003,2,,2019.02.08
NABC011,1,,2016.11.1
RRCR000,1,,2015.10.26
MLHA001,1,,18.01.10
MLHA002,1,,2018.01.10
MLHA003,1,,2018.01.10
MLHA004,1,,2018.01.10
FJPG002,1,,17.5.29
SSBC005,1,,2016.11.1
MLLS001,1,,2018.12.12
MLLS002,1,,2018.12.12
MLLS003,1,,2018.12.12
MLLS004,1,,2018.12.12
MLLS005,1,,2018.12.12
BDFS001,1,,2018.07.26
PDIR005,1,,2016.10.12
PDIR005,2,,2019.02.08
RPBC015,1,,2016.11.1
RPBC015,2,,2018.04.26
RPBC016,1,,2016.11.1
RPBC016,2,,2018.05.09
RPBC017,1,,2016.11.1
RPBC017,2,,2018.12.06
RMBL015,1,,2016.11.04
MLDM011,1,,2016.05.10
MLDM011,2,,2017.02.01
MLDM012,1,,2016.05.10
MLDM012,2,,2017.02.01
MLDM013,1,,2016.05.10
MLDM013,2,,2017.02.01
MLDM014,1,,2016.05.10
MLDM014,2,,2017.02.01
MLDM015,1,,2016.05.10
MLDM015,2,,2017.02.01
MLDM016,1,2016-05-10,
MLDM016,2,2017-02-13,
MLDM017,1,2016-05-10,
MLDM017,2,2017-02-13,
MLDM018,1,2016-05-10,
MLDM018,2,2017-02-13,
MLDM019,1,2016-05-10,
MLDM019,2,2017-02-13,
MLDM020,1,2016-05-10,
MLDM020,2,2017-02-13,
PDSP002,1,2016-10-20,
PDSP002,2,2017-06-22,
VMSP004,1,2015-11-18,
VMSP004,2,2016-12-27,
VMSP004,3,2019-02-11,
FJFC002,1,2024-02-23,
FJFCPN2,1,2024-02-23,
PDBL000,1,2016-11-08,
PDBLB00,1,2016-11-08,
RPBC018,1,2019-02-01,
MLBC012,1,2016-11-01,
RPBC019,1,2019-08-05,
RPBC020,1,2019-08-05,
MLSC020,1,2016-07-14,
MLSC020,2,2016-11-30,
MLSC021,1,2016-07-14,
MLSC021,2,2016-11-30,
MLSC022,1,2016-07-14,
MLSC022,2,2016-11-30,
MLSC023,1,2016-07-14,
MLSC023,2,2016-11-30,
MLSC024,1,2016-07-14,
MLSC024,2,2016-11-30,
PDSP003,1,2019-01-23,
PDSP003,2,2022-09-02,
PDRS001,1,2016-11-01,
PDRS001,2,2019-01-23,
RMHW003,1,2018-12-12,
RPBCM21,1,2016-11-01,
RPBCM21,2,2016-08-16,
RPBCM21,3,2018-11-12,
RPBCM22,1,2016-11-01,
RPBCM23,1,2016-11-01,
RPBCM23,2,2016-08-16,
RPBCM23,3,2018-12-06,
RPBCM24,1,2016-11-01,
PDSP004,1,2016-10-20,
PDSP004,2,2017-06-22,
WMCR001,1,2016-06-23,
WMCR001,2,2016-07-28,
WMCR001,3,2017-04-03,
WMCRM01,1,2016-06-23,
WMCRM01,2,2016-07-28,
WMCRM01,3,2017-04-03,
PDBC001,1,2017-07-05,
PDBC001,2,2023-04-25,
RMBLM21,1,2016-09-01,
RMBLM21,2,2016-10-13,
RMBLM23,1,2016-09-01,
RMBLM23,2,2016-10-13,
FJSL001,1,2018-12-13,
PDSP005,1,2019-04-15,
PDSP005,2,2022-09-02,
PDRS003,1,2019-04-15,
PDIR006,1,2023-02-09,
PDIR007,1,2019-02-08,
PDIR009,1,2019-02-08,
WMMT001,1,2017-02-01,
WMMT001,2,2018-07-05,
WMMO000,1,2017-04-03,
WMIT001,1,2017-05-15,
WMIT002,1,2017-05-15,
AJSP002,1,2022-04-01,
AJSP002,2,2025-04-29,
AJBC002,1,2022-04-01,
AJBC002,2,2025-04-29,
PDRS006,1,2023-04-25,
VMRS004,1,2019-02-11,
MLLS006,1,2018-12-12,
WMTN001,1,2019-03-08,
CCRS001,1,2017-12-15,
CCRW001,1,2017-12-19,
CCRW002,1,2018-03-02,
CCRW003,1,2018-03-02,
PFSPR00,1,2019-01-23,
VMSP005,1,2018-09-10,
VMSP005,2,2019-02-11,
VMSP005,3,2024-11-15,
VMRS005,1,2019-02-11,
VMRS005,2,2024-11-15,
VMRS007,1,2019-02-11,
VMRS007,2,2024-11-15,
VMSP007,1,2019-02-11,
VMSP007,2,2024-11-15,
FJBF001,1,2022-09-02,
PTBL001,1,2019-02-13,
MLDM026,1,2019-08-05,
MLDM027,1,2019-08-05,
MLDM028,1,2019-08-05,
MLHW001,1,2022-11-01,
MLHW002,1,2022-11-01,
MLHW003,1,2022-11-01,
ILMT001,1,2020-09-14,
ILMT002,1,2020-09-14,
ILWS001,1,2020-09-14,
ILWS002,1,2020-09-14,
FJCR002,1,2022-01-25,
FJCR002,2,2022-12-26,
FJCR002,3,2023-12-11,
