제품코드,conflict_type,csv_value,excel_value
MLPF001,제품명_불일치,미미로린스 모먼트 오디너리 퍼퓸,미미로린스 모먼트 오디너리 퍼퓸 NO.01 이노센트
MLPF002,제품명_불일치,미미로린스 모먼트 오디너리 퍼퓸,미미로린스 모먼트 오디너리 퍼퓸 NO.02 스윗피
MLPF003,제품명_불일치,미미로린스 모먼트 오디너리 퍼퓸,미미로린스 모먼트 오디너리 퍼퓸 NO.03 프레쉬코튼
MLPF004,제품명_불일치,미미로린스 모먼트 오디너리 퍼퓸,미미로린스 모먼트 오디너리 퍼퓸 NO.04 로즈부쉬
MLPF005,제품명_불일치,미미로린스 모먼트 오디너리 퍼퓸,미미로린스 모먼트 오디너리 퍼퓸 NO.05 멜리플루어스
CCSP002,관리번호_불일치,EVCO-1114,EVCO-1113
ADML000,관리번호_불일치,EVCO-1149,EVCO-120
VVCR001,제품명_불일치,"빈시뷰 글래머 센슈얼리티 프래그런스 크림
빈시뷰 글래머 판타지 프래그런스 크림
빈시뷰 글래머 프레셔스 프래그런스 크림",빈시뷰 글래머 센슈얼리티 프래그런스 크림
VVCR002,제품명_불일치,"빈시뷰 글래머 센슈얼리티 프래그런스 크림
빈시뷰 글래머 판타지 프래그런스 크림
빈시뷰 글래머 프레셔스 프래그런스 크림",빈시뷰 글래머 판타지 프래그런스 크림
VVCR003,제품명_불일치,"빈시뷰 글래머 센슈얼리티 프래그런스 크림
빈시뷰 글래머 판타지 프래그런스 크림
빈시뷰 글래머 프레셔스 프래그런스 크림",빈시뷰 글래머 프레셔스 프래그런스 크림
VVHC001,제품명_불일치,"빈시뷰 글래머 센슈얼리티 프래그런스 핸드크림
빈시뷰 글래머 판타지 프래그런스 핸드크림
빈시뷰 글래머 프레셔스 프래그런스 핸드크림",빈시뷰 글래머 센슈얼리티 프래그런스 핸드크림
VVHC002,제품명_불일치,"빈시뷰 글래머 센슈얼리티 프래그런스 핸드크림
빈시뷰 글래머 판타지 프래그런스 핸드크림
빈시뷰 글래머 프레셔스 프래그런스 핸드크림",빈시뷰 글래머 판타지 프래그런스 핸드크림
VVHC003,제품명_불일치,"빈시뷰 글래머 센슈얼리티 프래그런스 핸드크림
빈시뷰 글래머 판타지 프래그런스 핸드크림
빈시뷰 글래머 프레셔스 프래그런스 핸드크림",빈시뷰 글래머 프레셔스 프래그런스 핸드크림
HFBC002,제품명_불일치,"하파데이 시카&세라 바디 스크럽 워시 - 로즈티
하파데이 시카&세라 바디 스크럽 워시 - 허브 릴렉스
하파데이 시카&세라 바디 스크럽 워시 - 듀이 플로럴",하파데이 시카&세라 바디 스크럽 워시 - 로즈티
HFBC003,제품명_불일치,"하파데이 시카&세라 바디 스크럽 워시 - 로즈티
하파데이 시카&세라 바디 스크럽 워시 - 허브 릴렉스
하파데이 시카&세라 바디 스크럽 워시 - 듀이 플로럴",하파데이 시카&세라 바디 스크럽 워시 - 허브 릴렉스
HFBC004,제품명_불일치,"하파데이 시카&세라 바디 스크럽 워시 - 로즈티
하파데이 시카&세라 바디 스크럽 워시 - 허브 릴렉스
하파데이 시카&세라 바디 스크럽 워시 - 듀이 플로럴",하파데이 시카&세라 바디 스크럽 워시 - 듀이 플로럴
MLDF028,제품명_불일치,미미로린스 딥 퍼퓸 디퓨져,미미로린스 딥 퍼퓸 디퓨져 - 피브완로즈
MLDF029,제품명_불일치,미미로린스 딥 퍼퓸 디퓨져,미미로린스 딥 퍼퓸 디퓨져 - 네트와제
MLHC018,제품명_불일치,"미미로린스 모먼트 래디언스 핸드 포마드 크림 - 아로마틱 리플렉션
미미로린스 모먼트 래디언스 핸드 포마드 크림 - 드로우 인 선셋
미미로린스 모먼트 래디언스 핸드 포마드 크림 - 글로우 온 페탈",미미로린스 모먼트 래디언스 핸드 포마드 크림 - 아로마틱 리플렉션
MLHC019,제품명_불일치,"미미로린스 모먼트 래디언스 핸드 포마드 크림 - 아로마틱 리플렉션
미미로린스 모먼트 래디언스 핸드 포마드 크림 - 드로우 인 선셋
미미로린스 모먼트 래디언스 핸드 포마드 크림 - 글로우 온 페탈",미미로린스 모먼트 래디언스 핸드 포마드 크림 - 드로우 인 선셋
MLHC020,제품명_불일치,"미미로린스 모먼트 래디언스 핸드 포마드 크림 - 아로마틱 리플렉션
미미로린스 모먼트 래디언스 핸드 포마드 크림 - 드로우 인 선셋
미미로린스 모먼트 래디언스 핸드 포마드 크림 - 글로우 온 페탈",미미로린스 모먼트 래디언스 핸드 포마드 크림 - 글로우 온 페탈
RMSC002,제품명_불일치,"에바스 로즈마인 블랑쉬 샤워코롱
에바스 로즈마인 루지 샤워코롱
에바스 로즈마인 클레어 샤워코롱",에바스 로즈마인 블랑쉬 샤워코롱
RMSC003,제품명_불일치,"에바스 로즈마인 블랑쉬 샤워코롱
에바스 로즈마인 루지 샤워코롱
에바스 로즈마인 클레어 샤워코롱",에바스 로즈마인 루지 샤워코롱
RMSC004,제품명_불일치,"에바스 로즈마인 블랑쉬 샤워코롱
에바스 로즈마인 루지 샤워코롱
에바스 로즈마인 클레어 샤워코롱",에바스 로즈마인 클레어 샤워코롱
BTSS001,제품명_불일치,"바스파 오스트레일리안 솔트 바디 스크럽 - 컴포트 라벤더
바스파 오스트레일리안 솔트 바디 스크럽 - 블랙베리
바스파 오스트레일리안 솔트 바디 스크럽 - 그린티",바스파 오스트레일리안 솔트 바디 스크럽 - 컴포트 라벤더
BTSS002,제품명_불일치,"바스파 오스트레일리안 솔트 바디 스크럽 - 컴포트 라벤더
바스파 오스트레일리안 솔트 바디 스크럽 - 블랙베리
바스파 오스트레일리안 솔트 바디 스크럽 - 그린티",바스파 오스트레일리안 솔트 바디 스크럽 - 블랙베리
BTSS003,제품명_불일치,"바스파 오스트레일리안 솔트 바디 스크럽 - 컴포트 라벤더
바스파 오스트레일리안 솔트 바디 스크럽 - 블랙베리
바스파 오스트레일리안 솔트 바디 스크럽 - 그린티",바스파 오스트레일리안 솔트 바디 스크럽 - 그린티
RRPM001,제품명_불일치,"로에랑스 퍼퓸 미스트 - 듀
로에랑스 퍼퓸 미스트 - 레인
로에랑스 퍼퓸 미스트 - 나이브",로에랑스 퍼퓸 미스트 - 듀
RRPM002,제품명_불일치,"로에랑스 퍼퓸 미스트 - 듀
로에랑스 퍼퓸 미스트 - 레인
로에랑스 퍼퓸 미스트 - 나이브",로에랑스 퍼퓸 미스트 - 레인
RRPM003,제품명_불일치,"로에랑스 퍼퓸 미스트 - 듀
로에랑스 퍼퓸 미스트 - 레인
로에랑스 퍼퓸 미스트 - 나이브",로에랑스 퍼퓸 미스트 - 나이브
KBHC011,제품명_불일치,"키스바이 로즈마인 프래그런스 핸드크림-글래머 대즐링
키스바이 로즈마인 프래그런스 핸드크림-글래머 멜로우
키스바이 로즈마인 프래그런스 핸드크림-글래머 캔디블룸",키스바이 로즈마인 프래그런스 핸드크림-글래머 대즐링
KBHC012,제품명_불일치,"키스바이 로즈마인 프래그런스 핸드크림-글래머 대즐링
키스바이 로즈마인 프래그런스 핸드크림-글래머 멜로우
키스바이 로즈마인 프래그런스 핸드크림-글래머 캔디블룸",키스바이 로즈마인 프래그런스 핸드크림-글래머 멜로우
KBHC013,제품명_불일치,"키스바이 로즈마인 프래그런스 핸드크림-글래머 대즐링
키스바이 로즈마인 프래그런스 핸드크림-글래머 멜로우
키스바이 로즈마인 프래그런스 핸드크림-글래머 캔디블룸",키스바이 로즈마인 프래그런스 핸드크림-글래머 캔디블룸
BTDM002,제품명_불일치,바스파 아로마 라운지 무드 퍼퓸 드레스 미스트,바스파 아로마 라운지 무드 퍼퓸 드레스 미스트 NO.2 오크 베르단트
PDBC004,관리번호_불일치,EVCO-1143,EVCO-1243
SHHC002,제품명_불일치,스킨휴 핸드크림 쁘띠 로즈,스킨휴 핸드크림 쁘띠 로즈(일본수출용)
RPBC003,관리번호_불일치,EVCO-392,EVCO-393
RMSG001,관리번호_불일치,EVCO-400,EVCO-689
RMSG001,제품명_불일치,로즈마인 스팀 소프트 샤워젤 가든로즈,로즈마인 해피블러썸 퍼퓸드 핸드겔 플로럴 어도르
NMML000,관리번호_불일치,EVCO- 478,EVCO-478
NMSL000,관리번호_불일치,EVCO- 479,EVCO-479
RMET001,관리번호_불일치,EVCO- 480,EVCO-480
MLBS001,관리번호_불일치,EVCO- 485,EVCO-485
MLBS002,관리번호_불일치,EVCO- 486,EVCO-486
MLBS003,관리번호_불일치,EVCO- 487,EVCO-487
MLBS004,관리번호_불일치,EVCO- 488,EVCO-488
MLBS005,관리번호_불일치,EVCO- 489,EVCO-489
WMSB001,관리번호_불일치,EVCO- 491,EVCO-491
WMSB002,관리번호_불일치,EVCO- 492,EVCO-492
WMSB002,제품명_불일치,위드미 미네랄 페이스 프로텍트,위드미 미네랄 페이스 프로텍트 (SPF50)
RMDM001,제품명_불일치,로즈마인 홈폴리쉬 드레스 퍼퓸,로즈마인 홈폴리쉬 드레스 퍼퓸 체리 베리 폼
MLRM001,제품명_불일치,미미로린스 씬트 리메인 룸미스트,미미로린스 씬트 리메인 룸미스트 프리지아 로맨스
MLCR002,관리번호_불일치,EVCO-632,EVCO-633
MLCR003,관리번호_불일치,EVCO-633,EVCO-634
RMMT002,관리번호_불일치,EVCO-644,EVCO-645
MLSC020,제품명_불일치,미미로린스 씬트 리메인 그랜드 그레이트 자 캔들,미미로린스 그랜드 그레이트 자 캔들 스파클링 사케
BPMT004,제품명_불일치,바이마레 컴포지션 퍼퓸 미스트,바이마레 컴포지션 퍼퓸 미스트-플라워리플로랄
WMHM002,제품명_불일치,위드미 쏘머치 헤어 메이킹 미스트 내츄럴 브라운,위드미 쏘머치 헤어 메이킹 미스트 02 자연 갈색
VMHS001,제품명_불일치,밸르모나 얼티밋 헤어 오일 세럼,밸르모나 얼티밋 헤어 오일 세럼-아로마 컴포지션
VMHS002,제품명_불일치,밸르모나 얼티밋 헤어 오일 세럼,밸르모나 얼티밋 헤어 오일 세럼-애프리콧 컨져브
MLPG001,제품명_불일치,미미로린스 모먼트 퍼퓸,미미로린스 모먼트 퍼퓸-시트러스 베르가미아
MLPG002,제품명_불일치,미미로린스 모먼트 퍼퓸,미미로린스 모먼트 퍼퓸-멜리플루어스
MLPG004,제품명_불일치,미미로린스 모먼트 퍼퓸,미미로린스 모먼트 퍼퓸-프루티쥬시
MLPG005,제품명_불일치,미미로린스 모먼트 퍼퓸,미미로린스 모먼트 퍼퓸-우드세이지
